Country,CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,CustomerSegment
United Kingdom,13085.0,158,8,2134.08,3,4,5,345,Premium Customers
United Kingdom,13078.0,3,57,18859.53,5,5,5,555,New Customers
United Kingdom,15362.0,449,2,444.81,1,2,3,123,Regular Customers
France,12682.0,4,50,16406.81,5,5,5,555,New Customers
United Kingdom,18087.0,380,12,1675.26,2,5,4,254,Regular Customers
United Kingdom,13635.0,68,4,2764.06,3,3,5,335,Premium Customers
United Kingdom,14110.0,37,31,7944.110000000001,4,5,5,455,New Customers
United Kingdom,17519.0,17,15,2989.5,5,5,5,555,Premium Customers
United Kingdom,13758.0,12,14,5271.52,5,5,5,555,Premium Customers
Australia,16321.0,72,7,577.7,3,4,3,343,Premium Customers
United Kingdom,16167.0,414,5,1006.83,1,4,4,144,Regular Customers
United Kingdom,17865.0,31,43,17797.44,4,5,5,455,New Customers
United Kingdom,17592.0,739,1,148.3,1,2,1,121,Regular Customers
United Kingdom,13767.0,2,69,18546.48,5,5,5,555,New Customers
United Kingdom,17238.0,3,32,6473.36,5,5,5,555,New Customers
United Kingdom,15712.0,9,12,2954.25,5,5,5,555,Premium Customers
United Kingdom,15311.0,1,202,40503.78,5,5,5,555,High Value Customers
United Kingdom,16329.0,428,4,1126.22,1,4,4,144,Regular Customers
United Kingdom,17700.0,17,14,5109.31,5,5,5,555,Premium Customers
EIRE,14911.0,1,367,174896.61000000002,5,5,5,555,Occasional Customers
United Kingdom,15998.0,37,16,6962.87,4,5,5,455,New Customers
Germany,12533.0,628,2,1100.89,1,2,4,124,Regular Customers
United Kingdom,17984.0,145,5,968.69,3,4,4,344,Premium Customers
United Kingdom,14871.0,3,9,1133.02,5,5,4,554,Premium Customers
United Kingdom,13394.0,2,19,5508.29,5,5,5,555,New Customers
United Kingdom,16011.0,8,29,5211.68,5,5,5,555,New Customers
United Kingdom,16393.0,2,23,5217.6,5,5,5,555,New Customers
United Kingdom,14040.0,41,34,8711.67,4,5,5,455,New Customers
United Kingdom,12913.0,5,10,2063.33,5,5,5,555,Premium Customers
United Kingdom,15061.0,4,60,10397.41,5,5,5,555,New Customers
United Kingdom,14341.0,45,18,3942.77,4,5,5,455,Premium Customers
United Kingdom,17804.0,376,3,333.89,2,3,2,232,Regular Customers
EIRE,14156.0,10,106,52404.93,5,5,5,555,High Value Customers
United Kingdom,13599.0,1,30,6552.52,5,5,5,555,New Customers
United Kingdom,17063.0,21,13,3364.44,4,5,5,455,Premium Customers
United Kingdom,15719.0,33,31,9143.67,4,5,5,455,New Customers
France,12490.0,5,20,7630.74,5,5,5,555,New Customers
United Kingdom,15793.0,15,7,325.32000000000005,5,4,2,542,Premium Customers
United Kingdom,17056.0,738,1,112.7,1,2,1,121,Regular Customers
United Kingdom,13526.0,738,2,348.98,1,2,2,122,Regular Customers
United Kingdom,14654.0,738,1,216.62,1,1,2,112,Regular Customers
United Kingdom,17998.0,380,3,313.3,2,3,2,232,Regular Customers
United Kingdom,17742.0,113,11,1102.5800000000002,3,5,4,354,Premium Customers
United Kingdom,15326.0,334,5,1580.17,2,4,4,244,Regular Customers
United Kingdom,14478.0,382,4,808.3000000000001,2,3,3,233,Regular Customers
United Kingdom,15967.0,23,12,2427.15,4,5,5,455,Premium Customers
United Kingdom,17611.0,7,28,7100.9,5,5,5,555,New Customers
United Kingdom,15051.0,23,9,3008.23,4,5,5,455,Premium Customers
United Kingdom,13097.0,33,27,9189.8,4,5,5,455,New Customers
United Kingdom,13590.0,11,18,4742.1900000000005,5,5,5,555,New Customers
United Kingdom,15984.0,3,25,5112.33,5,5,5,555,New Customers
United Kingdom,16887.0,35,3,582.07,4,3,3,433,Premium Customers
United Kingdom,12921.0,9,74,27270.96,5,5,5,555,New Customers
United Kingdom,14543.0,29,34,3525.89,4,5,5,455,New Customers
United Kingdom,15945.0,365,4,398.36,2,4,2,242,Regular Customers
United Kingdom,15662.0,661,2,256.78000000000003,1,2,2,122,Regular Customers
United Kingdom,15380.0,9,8,571.2,5,5,3,553,Premium Customers
United Kingdom,13110.0,31,12,2030.72,4,5,5,455,Premium Customers
United Kingdom,12836.0,59,15,3955.19,4,5,5,455,Premium Customers
United Kingdom,15005.0,16,56,12039.49,5,5,5,555,New Customers
United Kingdom,16620.0,4,6,1538.92,5,4,4,544,Premium Customers
Portugal,12758.0,117,7,5235.58,3,4,5,345,Premium Customers
United Kingdom,17961.0,21,94,2195.29,4,5,5,455,New Customers
United Kingdom,15601.0,11,30,11682.98,5,5,5,555,New Customers
United Kingdom,13442.0,667,3,271.07,1,3,2,132,Regular Customers
United Kingdom,13381.0,32,12,6234.83,4,5,5,455,Premium Customers
United Kingdom,16763.0,199,2,571.3,2,3,3,233,Premium Customers
United Kingdom,17243.0,1,69,14304.62,5,5,5,555,New Customers
United Kingdom,17345.0,15,10,1109.3,5,5,4,554,Premium Customers
United Kingdom,13819.0,302,6,1826.25,2,4,4,244,Regular Customers
United Kingdom,15808.0,306,21,12842.37,2,5,5,255,New Customers
United Kingdom,17191.0,28,15,3632.32,4,5,5,455,Premium Customers
United Kingdom,13748.0,96,8,1043.7,3,4,4,344,Premium Customers
United Kingdom,15265.0,151,4,2796.59,3,4,5,345,Premium Customers
United Kingdom,15750.0,3,18,5589.791,5,5,5,555,New Customers
United Kingdom,17428.0,1,40,12936.03,5,5,5,555,New Customers
United Kingdom,15485.0,30,7,2758.76,4,4,5,445,Premium Customers
United Kingdom,17246.0,547,2,28.97,1,3,1,131,Regular Customers
United Kingdom,14061.0,724,2,340.1,1,2,2,122,Regular Customers
United Kingdom,14108.0,31,4,884.01,4,3,4,434,Premium Customers
United Kingdom,13648.0,400,8,1685.58,2,4,4,244,Regular Customers
United Kingdom,16563.0,54,6,1557.45,4,4,4,444,Premium Customers
United Kingdom,16701.0,9,25,4223.7,5,5,5,555,New Customers
United Kingdom,12842.0,70,4,973.31,3,3,4,334,Premium Customers
United Kingdom,14302.0,431,3,545.5,1,3,3,133,Regular Customers
United Kingdom,14831.0,680,3,1237.62,1,3,4,134,Regular Customers
United Kingdom,15602.0,8,14,2163.9500000000003,5,5,5,555,Premium Customers
United Kingdom,13777.0,9,39,5882.63,5,5,5,555,New Customers
United Kingdom,14000.0,211,5,1225.76,2,4,4,244,Premium Customers
United Kingdom,16823.0,227,7,1951.18,2,4,4,244,Premium Customers
United Kingdom,16163.0,365,5,916.58,2,4,4,244,Regular Customers
United Kingdom,15759.0,297,5,192.89,2,4,1,241,Regular Customers
United Kingdom,16131.0,52,10,6004.03,4,5,5,455,Premium Customers
United Kingdom,14560.0,17,30,1819.34,5,5,4,554,New Customers
United Kingdom,17087.0,738,1,221.53,1,2,2,122,Regular Customers
United Kingdom,14894.0,85,3,1360.21,3,3,4,334,Premium Customers
United Kingdom,16202.0,361,9,1737.47,2,5,4,254,Regular Customers
United Kingdom,16700.0,9,25,7995.34,5,5,5,555,New Customers
United Kingdom,17511.0,3,52,23335.98,5,5,5,555,New Customers
United Kingdom,14299.0,8,25,4951.47,5,5,5,555,New Customers
United Kingdom,14799.0,51,2,184.37,4,2,1,421,Premium Customers
United Kingdom,16550.0,109,18,7813.5,3,5,5,355,New Customers
United Kingdom,14425.0,435,3,633.5500000000001,1,3,3,133,Regular Customers
United Kingdom,15353.0,255,7,2174.4700000000003,2,4,5,245,Premium Customers
